13222,Dining and Drinking , Restaurant , Indian Restaurant , Rajasthani Restaurant,,
13223,Dining and Drinking , Restaurant , Indian Restaurant , South Indian Restaurant,,
13224,Dining and Drinking , Restaurant , Indian Restaurant , Udupi Restaurant,,
13225,Dining and Drinking , Restaurant , Asian Restaurant , Indonesian Restaurant,,
13226,Dining and Drinking , Restaurant , Asian Restaurant , Indonesian Restaurant , Acehnese Restaurant,
13227,Dining and Drinking , Restaurant , Asian Restaurant , Indonesian Restaurant , Balinese Restaurant,
13228,Dining and Drinking , Restaurant , Asian Restaurant , Indonesian Restaurant , Betawinese Restaurant,
13229,Dining and Drinking , Restaurant , Asian Restaurant , Indonesian Restaurant , Indonesian Meatball Restaurant,
13230,Dining and Drinking , Restaurant , Asian Restaurant , Indonesian Restaurant , Javanese Restaurant,
13231,Dining and Drinking , Restaurant , Asian Restaurant , Indonesian Restaurant , Manadonese Restaurant,
13232,Dining and Drinking , Restaurant , Asian Restaurant , Indonesian Restaurant , Padangnese Restaurant,
13233,Dining and Drinking , Restaurant , Asian Restaurant , Indonesian Restaurant , Sundanese Restaurant,
13234,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Iraqi Restaurant,,
13235,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Israeli Restaurant,,
13236,Dining and Drinking , Restaurant , Italian Restaurant,,,
13237,Dining and Drinking , Restaurant , Italian Restaurant , Abruzzo Restaurant,,
13238,Dining and Drinking , Restaurant , Italian Restaurant , Agriturismo,,
13239,Dining and Drinking , Restaurant , Italian Restaurant , Aosta Restaurant,,
13240,Dining and Drinking , Restaurant , Italian Restaurant , Basilicata Restaurant,,
13241,Dining and Drinking , Restaurant , Italian Restaurant , Calabria Restaurant,,
13242,Dining and Drinking , Restaurant , Italian Restaurant , Campanian Restaurant,,
13243,Dining and Drinking , Restaurant , Italian Restaurant , Emilia Restaurant,,
13244,Dining and Drinking , Restaurant , Italian Restaurant , Friuli Restaurant,,
13245,Dining and Drinking , Restaurant , Italian Restaurant , Ligurian Restaurant,,
13246,Dining and Drinking , Restaurant , Italian Restaurant , Lombard Restaurant,,
13247,Dining and Drinking , Restaurant , Italian Restaurant , Malga,,
13248,Dining and Drinking , Restaurant , Italian Restaurant , Marche Restaurant,,
13249,Dining and Drinking , Restaurant , Italian Restaurant , Molise Restaurant,,
13250,Dining and Drinking , Restaurant , Italian Restaurant , Piadineria,,
13251,Dining and Drinking , Restaurant , Italian Restaurant , Piedmontese Restaurant,,
13252,Dining and Drinking , Restaurant , Italian Restaurant , Puglia Restaurant,,
13253,Dining and Drinking , Restaurant , Italian Restaurant , Romagna Restaurant,,
13254,Dining and Drinking , Restaurant , Italian Restaurant , Roman Restaurant,,
13255,Dining and Drinking , Restaurant , Italian Restaurant , Sardinian Restaurant,,
13256,Dining and Drinking , Restaurant , Italian Restaurant , Sicilian Restaurant,,
13257,Dining and Drinking , Restaurant , Italian Restaurant , South Tyrolean Restaurant,,
13258,Dining and Drinking , Restaurant , Italian Restaurant , Trattoria,,
13259,Dining and Drinking , Restaurant , Italian Restaurant , Trentino Restaurant,,
13260,Dining and Drinking , Restaurant , Italian Restaurant , Tuscan Restaurant,,
13261,Dining and Drinking , Restaurant , Italian Restaurant , Umbrian Restaurant,,
13262,Dining and Drinking , Restaurant , Italian Restaurant , Veneto Restaurant,,
13263,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant,,
13264,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Donburi Restaurant,
13265,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Japanese Curry Restaurant,
13266,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Japanese Family Restaurant,
13267,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Kaiseki Restaurant,
13268,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Kushikatsu Restaurant,
13269,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Monjayaki Restaurant,
13270,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Nabe Restaurant,
13271,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Okonomiyaki Restaurant,
13272,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Ramen Restaurant,
13273,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Shabu-Shabu Restaurant,
13274,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Soba Restaurant,
13275,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Sukiyaki Restaurant,
13276,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Sushi Restaurant,
13277,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Takoyaki Place,
13278,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Teishoku Restaurant,
13279,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Tempura Restaurant,
13280,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Tonkatsu Restaurant,
13281,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Udon Restaurant,
13282,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Unagi Restaurant,
13283,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Wagashi Place,
13284,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Yakitori Restaurant,
13285,Dining and Drinking , Restaurant , Asian Restaurant , Japanese Restaurant , Yoshoku Restaurant,
13286,Dining and Drinking , Restaurant , Jewish Restaurant,,,
13287,Dining and Drinking , Restaurant , Jewish Restaurant , Kosher Restaurant,,
13288,Dining and Drinking , Restaurant , Kebab Restaurant,,,
13289,Dining and Drinking , Restaurant , Asian Restaurant , Korean Restaurant,,
13290,Dining and Drinking , Restaurant , Asian Restaurant , Korean Restaurant , Bossam/Jokbal Restaurant,
13291,Dining and Drinking , Restaurant , Asian Restaurant , Korean Restaurant , Bunsik Restaurant,
13292,Dining and Drinking , Restaurant , Asian Restaurant , Korean Restaurant , Gukbap Restaurant,
13293,Dining and Drinking , Restaurant , Asian Restaurant , Korean Restaurant , Janguh Restaurant,
13294,Dining and Drinking , Restaurant , Asian Restaurant , Korean Restaurant , Korean BBQ Restaurant,
13295,Dining and Drinking , Restaurant , Asian Restaurant , Korean Restaurant , Samgyetang Restaurant,
13296,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Kurdish Restaurant,,
13297,Dining and Drinking , Restaurant , Latin American Restaurant,,,
13298,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Lebanese Restaurant,,
13299,Dining and Drinking , Restaurant , Asian Restaurant , Malay Restaurant,,
13300,Dining and Drinking , Restaurant , Asian Restaurant , Malay Restaurant , Mamak Restaurant,
13301,Dining and Drinking , Restaurant , African Restaurant , Mauritian Restaurant,,
13302,Dining and Drinking , Restaurant , Mediterranean Restaurant,,,
13303,Dining and Drinking , Restaurant , Mexican Restaurant,,,
13304,Dining and Drinking , Restaurant , Mexican Restaurant , Botanero,,
13305,Dining and Drinking , Restaurant , Mexican Restaurant , Burrito Restaurant,,
13306,Dining and Drinking , Restaurant , Mexican Restaurant , Taco Restaurant,,
13307,Dining and Drinking , Restaurant , Mexican Restaurant , Tex-Mex Restaurant,,
13308,Dining and Drinking , Restaurant , Mexican Restaurant , Yucatecan Restaurant,,
13309,Dining and Drinking , Restaurant , Middle Eastern Restaurant,,,
13310,Dining and Drinking , Restaurant , Modern European Restaurant,,,
13311,Dining and Drinking , Restaurant , Molecular Gastronomy Restaurant,,,
13312,Dining and Drinking , Restaurant , Asian Restaurant , Mongolian Restaurant,,
13313,Dining and Drinking , Restaurant , Moroccan Restaurant,,,
13314,Dining and Drinking , Restaurant , American Restaurant , New American Restaurant,,
13315,Dining and Drinking , Restaurant , Asian Restaurant , Noodle Restaurant,,
13316,Dining and Drinking , Restaurant , Pakistani Restaurant,,,
13317,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Persian Restaurant,,
13318,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Persian Restaurant , Ash and Haleem Place,
13319,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Persian Restaurant , Dizi Place,
13320,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Persian Restaurant , Gilaki Restaurant,
13321,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Persian Restaurant , Jegaraki,
13322,Dining and Drinking , Restaurant , Latin American Restaurant , South American Restaurant , Peruvian Restaurant,
13323,Dining and Drinking , Restaurant , Latin American Restaurant , South American Restaurant , Peruvian Restaurant , Peruvian Roast Chicken Joint
13324,Dining and Drinking , Restaurant , Polish Restaurant,,,
13325,Dining and Drinking , Restaurant , Portuguese Restaurant,,,
13326,Dining and Drinking , Restaurant , Poutine Restaurant,,,
13327,Dining and Drinking , Restaurant , Caribbean Restaurant , Puerto Rican Restaurant,,
13328,Dining and Drinking , Restaurant , Eastern European Restaurant , Romanian Restaurant,,
13329,Dining and Drinking , Restaurant , Russian Restaurant,,,
13330,Dining and Drinking , Restaurant , Russian Restaurant , Blini House,,
